"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",239,235,130,75,17881,0,506,0,0,400,300,120000,96717,0,2151,2292,80.5975
"2",72,75,132,76,18341,0,231,0,0,400,300,120000,96717,0,2151,2292,80.5975
"3",343,150,122,70,15597,437,719,0,0,400,300,120000,96717,0,2151,2292,80.5975
"4",187,45,85,49,7685,194,147,0,0,400,300,120000,96717,0,2151,2292,80.5975
"5",295,43,89,51,8317,101,355,0,0,400,300,120000,96717,0,2151,2292,80.5975
"6",83,224,144,83,21869,462,334,0,0,400,300,120000,96717,0,2151,2292,80.5975
"7",247,102,65,37,4405,461,0,0,0,400,300,120000,96717,0,2151,2292,80.5975
"8",178,138,82,47,7065,496,0,0,0,400,300,120000,96717,0,2151,2292,80.5975
