"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",91,171,151,87,24033,0,0,0,0,400,300,120000,48066,0,0,0,40.055
"2",300,113,151,87,24033,0,0,0,0,400,300,120000,48066,0,0,0,40.055
