"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",248,72,137,79,19837,0,374,0,0,400,300,120000,92380,0,2561,2355,76.9833333333333
"2",103,84,143,82,21369,793,0,0,0,400,300,120000,92380,0,2561,2355,76.9833333333333
"3",333,191,129,74,17417,243,297,0,0,400,300,120000,92380,0,2561,2355,76.9833333333333
"4",183,222,146,84,22405,409,252,0,0,400,300,120000,92380,0,2561,2355,76.9833333333333
"5",23,129,52,30,2909,805,224,0,0,400,300,120000,92380,0,2561,2355,76.9833333333333
"6",11,44,40,23,1733,105,389,0,0,400,300,120000,92380,0,2561,2355,76.9833333333333
"7",46,239,104,60,11497,206,819,0,0,400,300,120000,92380,0,2561,2355,76.9833333333333
"8",7,8,11,6,129,0,0,0,0,400,300,120000,92380,0,2561,2355,76.9833333333333
