"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",123,83,144,83,21869,0,19,0,0,400,300,120000,85472,0,579,1677,71.2266666666667
"2",67,223,132,76,18341,324,508,0,0,400,300,120000,85472,0,579,1677,71.2266666666667
"3",318,72,149,86,23485,0,1131,0,0,400,300,120000,85472,0,579,1677,71.2266666666667
"4",231,214,151,87,24033,255,19,0,0,400,300,120000,85472,0,579,1677,71.2266666666667
