"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",63,70,139,80,20321,0,1841,0,0,400,300,120000,101671,0,3695,4172,84.7258333333333
"2",327,73,143,82,21369,0,987,0,0,400,300,120000,101671,0,3695,4172,84.7258333333333
"3",174,42,84,48,7377,558,237,0,0,400,300,120000,101671,0,3695,4172,84.7258333333333
"4",186,141,122,70,15597,1127,0,0,0,400,300,120000,101671,0,3695,4172,84.7258333333333
"5",77,228,141,81,20841,573,638,0,0,400,300,120000,101671,0,3695,4172,84.7258333333333
"6",310,222,151,87,24033,1437,469,0,0,400,300,120000,101671,0,3695,4172,84.7258333333333
