"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",313,217,151,87,24033,0,142,0,0,400,300,120000,91374,0,2279,2479,76.145
"2",138,219,151,87,24033,0,258,0,0,400,300,120000,91374,0,2279,2479,76.145
"3",74,77,151,87,24033,1029,1531,0,0,400,300,120000,91374,0,2279,2479,76.145
"4",241,78,151,87,24033,1250,548,0,0,400,300,120000,91374,0,2279,2479,76.145
