"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",326,211,141,81,20841,0,309,0,0,400,300,120000,103300,0,3209,1913,86.0833333333333
"2",60,246,104,60,11497,0,229,0,0,400,300,120000,103300,0,3209,1913,86.0833333333333
"3",180,41,87,50,8005,0,410,0,0,400,300,120000,103300,0,3209,1913,86.0833333333333
"4",186,235,123,71,16029,559,232,0,0,400,300,120000,103300,0,3209,1913,86.0833333333333
"5",212,128,84,48,7377,453,0,0,0,400,300,120000,103300,0,3209,1913,86.0833333333333
"6",262,282,37,21,1441,193,43,0,0,400,300,120000,103300,0,3209,1913,86.0833333333333
"7",83,122,139,80,20321,720,0,0,0,400,300,120000,103300,0,3209,1913,86.0833333333333
"8",36,31,65,37,4405,558,241,0,0,400,300,120000,103300,0,3209,1913,86.0833333333333
"9",299,62,122,70,15597,303,419,0,0,400,300,120000,103300,0,3209,1913,86.0833333333333
"10",372,110,52,30,2909,423,30,0,0,400,300,120000,103300,0,3209,1913,86.0833333333333
