"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",316,227,148,85,22941,0,729,0,0,400,300,120000,99649,0,3402,2725,83.0408333333333
"2",192,258,84,48,7377,160,188,0,0,400,300,120000,99649,0,3402,2725,83.0408333333333
"3",188,137,132,76,18341,220,0,0,0,400,300,120000,99649,0,3402,2725,83.0408333333333
"4",39,132,68,39,4889,0,13,0,0,400,300,120000,99649,0,3402,2725,83.0408333333333
"5",83,54,115,66,13865,889,697,0,0,400,300,120000,99649,0,3402,2725,83.0408333333333
"6",75,231,130,75,17881,474,255,0,0,400,300,120000,99649,0,3402,2725,83.0408333333333
"7",354,106,92,53,8985,451,251,0,0,400,300,120000,99649,0,3402,2725,83.0408333333333
"8",279,49,104,60,11497,1208,592,0,0,400,300,120000,99649,0,3402,2725,83.0408333333333
