"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",337,247,106,61,11865,0,328,0,0,400,300,120000,98009,0,6166,2899,81.6741666666667
"2",45,50,73,42,5653,0,0,0,0,400,300,120000,98009,0,6166,2899,81.6741666666667
"3",130,141,59,34,3721,0,0,0,0,400,300,120000,98009,0,6166,2899,81.6741666666667
"4",161,177,63,36,4181,853,0,0,0,400,300,120000,98009,0,6166,2899,81.6741666666667
"5",287,147,108,62,12257,435,0,0,0,400,300,120000,98009,0,6166,2899,81.6741666666667
"6",47,132,78,45,6493,130,0,0,0,400,300,120000,98009,0,6166,2899,81.6741666666667
"7",67,227,127,73,16953,1055,295,0,0,400,300,120000,98009,0,6166,2899,81.6741666666667
"8",219,251,122,70,15597,1240,1449,0,0,400,300,120000,98009,0,6166,2899,81.6741666666667
"9",181,71,144,83,21869,2379,787,0,0,400,300,120000,98009,0,6166,2899,81.6741666666667
"10",350,61,91,52,8645,234,40,0,0,400,300,120000,98009,0,6166,2899,81.6741666666667
