"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",386,166,28,16,845,0,20,0,0,400,300,120000,94755,0,3332,4809,78.9625
"2",176,235,146,84,22405,0,1381,0,0,400,300,120000,94755,0,3332,4809,78.9625
"3",125,121,82,47,7065,187,0,0,0,400,300,120000,94755,0,3332,4809,78.9625
"4",39,196,118,68,14729,410,2382,0,0,400,300,120000,94755,0,3332,4809,78.9625
"5",70,59,89,51,8317,579,0,0,0,400,300,120000,94755,0,3332,4809,78.9625
"6",339,232,122,70,15597,92,465,0,0,400,300,120000,94755,0,3332,4809,78.9625
"7",333,93,132,76,18341,279,435,0,0,400,300,120000,94755,0,3332,4809,78.9625
"8",210,67,122,70,15597,1785,126,0,0,400,300,120000,94755,0,3332,4809,78.9625
