"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",10,10,18,10,349,0,14,0,0,400,300,120000,87281,0,551,510,72.7341666666667
"2",65,65,117,67,14313,0,166,0,0,400,300,120000,87281,0,551,510,72.7341666666667
"3",314,216,151,87,24033,0,112,0,0,400,300,120000,87281,0,551,510,72.7341666666667
"4",21,139,39,22,1581,54,24,0,0,400,300,120000,87281,0,551,510,72.7341666666667
"5",214,84,151,87,24033,471,142,0,0,400,300,120000,87281,0,551,510,72.7341666666667
"6",99,215,151,87,24033,26,52,0,0,400,300,120000,87281,0,551,510,72.7341666666667
