"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",314,215,151,87,24033,0,71,0,0,400,300,120000,85082,0,511,371,70.9016666666667
"2",62,64,115,66,13865,0,248,0,0,400,300,120000,85082,0,511,371,70.9016666666667
"3",88,213,151,87,24033,53,0,0,0,400,300,120000,85082,0,511,371,70.9016666666667
"4",208,86,151,87,24033,458,52,0,0,400,300,120000,85082,0,511,371,70.9016666666667
