"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",14,182,65,37,4405,0,1210,0,0,400,300,120000,101823,0,3589,2500,84.8525
"2",28,270,59,34,3721,0,281,0,0,400,300,120000,101823,0,3589,2500,84.8525
"3",69,80,129,74,17417,0,236,0,0,400,300,120000,101823,0,3589,2500,84.8525
"4",131,220,149,86,23485,413,256,0,0,400,300,120000,101823,0,3589,2500,84.8525
"5",318,195,151,87,24033,0,197,0,0,400,300,120000,101823,0,3589,2500,84.8525
"6",204,83,143,82,21369,2185,0,0,0,400,300,120000,101823,0,3589,2500,84.8525
"7",337,58,110,63,12637,896,216,0,0,400,300,120000,101823,0,3589,2500,84.8525
"8",11,18,28,16,845,95,104,0,0,400,300,120000,101823,0,3589,2500,84.8525
