"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",221,22,110,63,12637,0,3642,0,0,400,300,120000,117699,0,26303,16531,98.0825
"2",63,221,149,86,23485,0,2289,0,0,400,300,120000,117699,0,26303,16531,98.0825
"3",183,225,149,86,23485,4539,629,0,0,400,300,120000,117699,0,26303,16531,98.0825
"4",124,76,137,79,19837,2406,134,0,0,400,300,120000,117699,0,26303,16531,98.0825
"5",327,229,151,87,24033,1983,1996,0,0,400,300,120000,117699,0,26303,16531,98.0825
"6",40,72,139,80,20321,8012,4516,0,0,400,300,120000,117699,0,26303,16531,98.0825
"7",234,114,117,67,14313,6154,0,0,0,400,300,120000,117699,0,26303,16531,98.0825
"8",345,75,148,85,22941,3728,3325,0,0,400,300,120000,117699,0,26303,16531,98.0825
