"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",342,134,149,86,23485,0,2464,0,0,400,300,120000,105222,0,19977,14179,87.685
"2",71,43,139,80,20321,0,4176,0,0,400,300,120000,105222,0,19977,14179,87.685
"3",224,62,151,87,24033,3187,2226,0,0,400,300,120000,105222,0,19977,14179,87.685
"4",77,140,151,87,24033,7062,631,0,0,400,300,120000,105222,0,19977,14179,87.685
"5",227,227,151,87,24033,2023,900,0,0,400,300,120000,105222,0,19977,14179,87.685
"6",70,243,149,86,23485,7717,3782,0,0,400,300,120000,105222,0,19977,14179,87.685
