"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",338,253,137,79,19837,0,3982,0,0,400,300,120000,120000,0,58526,46984,100
"2",346,142,151,87,24033,4776,3141,0,0,400,300,120000,120000,0,58526,46984,100
"3",31,42,127,73,16953,0,6394,0,0,400,300,120000,120000,0,58526,46984,100
"4",145,40,118,68,14729,1609,2269,0,0,400,300,120000,120000,0,58526,46984,100
"5",342,30,134,77,18853,4398,6131,0,0,400,300,120000,120000,0,58526,46984,100
"6",226,222,149,86,23485,5297,392,0,0,400,300,120000,120000,0,58526,46984,100
"7",114,264,146,84,22405,4318,5232,0,0,400,300,120000,120000,0,58526,46984,100
"8",216,49,146,84,22405,9654,3484,0,0,400,300,120000,120000,0,58526,46984,100
"9",43,147,149,86,23485,6532,4696,0,0,400,300,120000,120000,0,58526,46984,100
"10",20,276,111,64,13037,4263,6522,0,0,400,300,120000,120000,0,58526,46984,100
"11",185,126,143,82,21369,17529,0,0,0,400,300,120000,120000,0,58526,46984,100
"12",281,288,110,63,12637,7868,4741,0,0,400,300,120000,120000,0,58526,46984,100
