"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",349,237,111,64,13037,0,698,0,0,400,300,120000,107378,0,4183,2685,89.4816666666667
"2",79,214,151,87,24033,0,488,0,0,400,300,120000,107378,0,4183,2685,89.4816666666667
"3",228,224,137,79,19837,2039,87,0,0,400,300,120000,107378,0,4183,2685,89.4816666666667
"4",323,88,151,87,24033,17,548,0,0,400,300,120000,107378,0,4183,2685,89.4816666666667
"5",174,78,137,79,19837,970,48,0,0,400,300,120000,107378,0,4183,2685,89.4816666666667
"6",52,64,113,65,13469,1157,816,0,0,400,300,120000,107378,0,4183,2685,89.4816666666667
