"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",229,72,137,79,19837,0,374,0,0,400,300,120000,107706,0,1464,2362,89.755
"2",344,149,106,61,11865,41,163,0,0,400,300,120000,107706,0,1464,2362,89.755
"3",353,45,87,50,8005,265,265,0,0,400,300,120000,107706,0,1464,2362,89.755
"4",74,226,137,79,19837,0,431,0,0,400,300,120000,107706,0,1464,2362,89.755
"5",229,227,141,81,20841,432,378,0,0,400,300,120000,107706,0,1464,2362,89.755
"6",75,73,137,79,19837,308,494,0,0,400,300,120000,107706,0,1464,2362,89.755
"7",354,255,87,50,8005,211,257,0,0,400,300,120000,107706,0,1464,2362,89.755
"8",151,149,56,32,3305,207,0,0,0,400,300,120000,107706,0,1464,2362,89.755
