"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",165,254,117,67,14313,0,1419,0,0,400,300,120000,119829,0,37097,22813,99.8575
"2",345,227,149,86,23485,0,3654,0,0,400,300,120000,119829,0,37097,22813,99.8575
"3",55,241,137,79,19837,2384,3435,0,0,400,300,120000,119829,0,37097,22813,99.8575
"4",198,50,132,76,18341,0,2171,0,0,400,300,120000,119829,0,37097,22813,99.8575
"5",217,165,104,60,11497,2384,0,0,0,400,300,120000,119829,0,37097,22813,99.8575
"6",330,28,132,76,18341,957,5294,0,0,400,300,120000,119829,0,37097,22813,99.8575
"7",37,37,85,49,7685,0,1190,0,0,400,300,120000,119829,0,37097,22813,99.8575
"8",101,27,82,47,7065,2750,1153,0,0,400,300,120000,119829,0,37097,22813,99.8575
"9",329,108,144,83,21869,13350,700,0,0,400,300,120000,119829,0,37097,22813,99.8575
"10",108,133,125,72,16493,5067,0,0,0,400,300,120000,119829,0,37097,22813,99.8575
"11",248,254,104,60,11497,7398,740,0,0,400,300,120000,119829,0,37097,22813,99.8575
"12",18,120,97,56,10005,3496,3057,0,0,400,300,120000,119829,0,37097,22813,99.8575
