"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",184,67,151,87,24033,0,1631,0,0,400,300,120000,114214,0,17247,9481,95.1783333333333
"2",326,74,151,87,24033,2274,1707,0,0,400,300,120000,114214,0,17247,9481,95.1783333333333
"3",58,76,146,84,22405,3651,2764,0,0,400,300,120000,114214,0,17247,9481,95.1783333333333
"4",65,226,146,84,22405,982,2024,0,0,400,300,120000,114214,0,17247,9481,95.1783333333333
"5",323,226,151,87,24033,1346,1355,0,0,400,300,120000,114214,0,17247,9481,95.1783333333333
"6",186,211,151,87,24033,8994,0,0,0,400,300,120000,114214,0,17247,9481,95.1783333333333
