"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",228,255,94,54,9313,0,367,0,0,400,300,120000,104126,0,3601,2561,86.7716666666667
"2",255,179,61,35,3941,240,0,0,0,400,300,120000,104126,0,3601,2561,86.7716666666667
"3",75,252,106,61,11865,0,669,0,0,400,300,120000,104126,0,3601,2561,86.7716666666667
"4",140,65,115,66,13865,0,44,0,0,400,300,120000,104126,0,3601,2561,86.7716666666667
"5",366,38,66,38,4645,0,105,0,0,400,300,120000,104126,0,3601,2561,86.7716666666667
"6",279,38,87,50,8005,28,601,0,0,400,300,120000,104126,0,3601,2561,86.7716666666667
"7",41,51,84,48,7377,565,288,0,0,400,300,120000,104126,0,3601,2561,86.7716666666667
"8",162,179,99,57,10365,715,0,0,0,400,300,120000,104126,0,3601,2561,86.7716666666667
"9",232,106,75,43,5941,634,0,0,0,400,300,120000,104126,0,3601,2561,86.7716666666667
"10",337,133,113,65,13469,353,44,0,0,400,300,120000,104126,0,3601,2561,86.7716666666667
"11",342,248,104,60,11497,386,370,0,0,400,300,120000,104126,0,3601,2561,86.7716666666667
"12",54,150,97,56,10005,680,73,0,0,400,300,120000,104126,0,3601,2561,86.7716666666667
