"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",348,57,101,58,10733,0,250,0,0,400,300,120000,100432,0,2694,1572,83.6933333333333
"2",331,223,139,80,20321,0,688,0,0,400,300,120000,100432,0,2694,1572,83.6933333333333
"3",246,97,130,75,17881,1346,0,0,0,400,300,120000,100432,0,2694,1572,83.6933333333333
"4",88,85,151,87,24033,118,93,0,0,400,300,120000,100432,0,2694,1572,83.6933333333333
"5",186,230,129,74,17417,449,130,0,0,400,300,120000,100432,0,2694,1572,83.6933333333333
"6",59,232,117,67,14313,781,411,0,0,400,300,120000,100432,0,2694,1572,83.6933333333333
