"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",224,31,51,29,2725,0,0,0,0,400,300,120000,92350,0,1292,754,76.9583333333333
"2",31,129,61,35,3941,0,123,0,0,400,300,120000,92350,0,1292,754,76.9583333333333
"3",34,26,52,30,2909,0,113,0,0,400,300,120000,92350,0,1292,754,76.9583333333333
"4",225,220,146,84,22405,0,138,0,0,400,300,120000,92350,0,1292,754,76.9583333333333
"5",71,228,127,73,16953,119,100,0,0,400,300,120000,92350,0,1292,754,76.9583333333333
"6",317,91,151,87,24033,731,142,0,0,400,300,120000,92350,0,1292,754,76.9583333333333
"7",7,11,7,4,61,26,0,0,0,400,300,120000,92350,0,1292,754,76.9583333333333
"8",128,79,143,82,21369,416,138,0,0,400,300,120000,92350,0,1292,754,76.9583333333333
