"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",67,69,125,72,16493,0,362,0,0,400,300,120000,86918,0,784,890,72.4316666666667
"2",222,81,151,87,24033,117,323,0,0,400,300,120000,86918,0,784,890,72.4316666666667
"3",314,216,151,87,24033,478,112,0,0,400,300,120000,86918,0,784,890,72.4316666666667
"4",112,216,151,87,24033,189,93,0,0,400,300,120000,86918,0,784,890,72.4316666666667
