"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",331,221,151,87,24033,0,1696,0,0,400,300,120000,118439,0,24682,25959,98.6991666666667
"2",185,128,151,87,24033,28,0,0,0,400,300,120000,118439,0,24682,25959,98.6991666666667
"3",59,39,117,67,14313,4,2666,0,0,400,300,120000,118439,0,24682,25959,98.6991666666667
"4",184,10,146,84,22405,5850,9597,0,0,400,300,120000,118439,0,24682,25959,98.6991666666667
"5",46,104,108,62,12257,5311,997,0,0,400,300,120000,118439,0,24682,25959,98.6991666666667
"6",54,224,151,87,24033,2318,3909,0,0,400,300,120000,118439,0,24682,25959,98.6991666666667
"7",333,73,151,87,24033,2964,2515,0,0,400,300,120000,118439,0,24682,25959,98.6991666666667
"8",190,256,151,87,24033,8267,4579,0,0,400,300,120000,118439,0,24682,25959,98.6991666666667
