"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",314,217,151,87,24033,0,161,0,0,400,300,120000,91390,0,2222,2520,76.1583333333333
"2",74,77,151,87,24033,0,1531,0,0,400,300,120000,91390,0,2222,2520,76.1583333333333
"3",139,218,151,87,24033,1068,197,0,0,400,300,120000,91390,0,2222,2520,76.1583333333333
"4",241,77,151,87,24033,1154,631,0,0,400,300,120000,91390,0,2222,2520,76.1583333333333
