"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",324,74,151,87,24033,0,1531,0,0,400,300,120000,115308,0,18156,10734,96.09
"2",193,223,151,87,24033,0,548,0,0,400,300,120000,115308,0,18156,10734,96.09
"3",183,74,151,87,24033,3978,900,0,0,400,300,120000,115308,0,18156,10734,96.09
"4",328,223,151,87,24033,4646,1545,0,0,400,300,120000,115308,0,18156,10734,96.09
"5",64,221,151,87,24033,3724,2376,0,0,400,300,120000,115308,0,18156,10734,96.09
"6",58,72,151,87,24033,5808,3834,0,0,400,300,120000,115308,0,18156,10734,96.09
