"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",183,256,91,52,8645,0,302,0,0,400,300,120000,102567,0,3365,2484,85.4725
"2",346,192,117,67,14313,0,705,0,0,400,300,120000,102567,0,3365,2484,85.4725
"3",235,186,82,47,7065,489,0,0,0,400,300,120000,102567,0,3365,2484,85.4725
"4",141,164,87,50,8005,38,0,0,0,400,300,120000,102567,0,3365,2484,85.4725
"5",65,238,118,68,14729,477,354,0,0,400,300,120000,102567,0,3365,2484,85.4725
"6",341,60,110,63,12637,0,236,0,0,400,300,120000,102567,0,3365,2484,85.4725
"7",45,122,91,52,8645,63,302,0,0,400,300,120000,102567,0,3365,2484,85.4725
"8",231,49,87,50,8005,67,40,0,0,400,300,120000,102567,0,3365,2484,85.4725
"9",271,122,63,36,4181,497,0,0,0,400,300,120000,102567,0,3365,2484,85.4725
"10",199,118,59,34,3721,604,0,0,0,400,300,120000,102567,0,3365,2484,85.4725
"11",276,265,77,44,6213,445,329,0,0,400,300,120000,102567,0,3365,2484,85.4725
"12",122,57,108,62,12257,685,216,0,0,400,300,120000,102567,0,3365,2484,85.4725
