"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",228,134,103,59,11089,0,0,0,0,400,300,120000,98162,0,3137,2361,81.8016666666667
"2",339,203,125,72,16493,11,569,0,0,400,300,120000,98162,0,3137,2361,81.8016666666667
"3",235,249,99,57,10365,708,206,0,0,400,300,120000,98162,0,3137,2361,81.8016666666667
"4",117,206,132,76,18341,321,0,0,0,400,300,120000,98162,0,3137,2361,81.8016666666667
"5",181,45,89,51,8317,315,245,0,0,400,300,120000,98162,0,3137,2361,81.8016666666667
"6",35,252,70,40,5145,1008,172,0,0,400,300,120000,98162,0,3137,2361,81.8016666666667
"7",65,75,129,74,17417,518,504,0,0,400,300,120000,98162,0,3137,2361,81.8016666666667
"8",329,61,125,72,16493,256,665,0,0,400,300,120000,98162,0,3137,2361,81.8016666666667
