"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",338,223,149,86,23485,0,2435,0,0,400,300,120000,119093,0,37583,25081,99.2441666666667
"2",44,76,151,87,24033,0,5448,0,0,400,300,120000,119093,0,37583,25081,99.2441666666667
"3",356,76,148,85,22941,1413,4763,0,0,400,300,120000,119093,0,37583,25081,99.2441666666667
"4",264,81,144,83,21869,7910,91,0,0,400,300,120000,119093,0,37583,25081,99.2441666666667
"5",65,231,149,86,23485,904,2925,0,0,400,300,120000,119093,0,37583,25081,99.2441666666667
"6",182,152,149,86,23485,8572,0,0,0,400,300,120000,119093,0,37583,25081,99.2441666666667
"7",208,249,149,86,23485,11522,3393,0,0,400,300,120000,119093,0,37583,25081,99.2441666666667
"8",156,28,141,81,20841,9129,6026,0,0,400,300,120000,119093,0,37583,25081,99.2441666666667
