Scn , Algo , IS , Ndrones , wCoverage , wDist , OOPenalty , InitCov , FinCov , InitTotDist , FinTotDist , InitMeanDist , FinMeanDist , InitMedianDist , FinMedianDist , InitOverflow , FinOverflow , InitOverlap , FinOverlap , Time
s1 , DEoptim , 0 , 6 , 1 , 0 , 0 , 69.59 , 95.86 , 1760.005 , 1880.973 , 293.3342 , 313.4955 , 287.3185 , 305.8908 , 45.97 , 9.66 , 0.04 , 15.21 , 427.507
s1 , DEoptim , 0 , 8 , 1 , 0 , 0 , 75.61 , 94.63 , 2457.351 , 2534.072 , 307.1689 , 316.7591 , 306.4045 , 310.2245 , 37.46 , 20.73 , 0.05 , 19.71 , 269.402
s2 , GA , 0 , 10 , 1 , 0 , 1 , 67.29 , 86.08 , 3112.844 , 2854.538 , 311.2844 , 285.4538 , 329.6332 , 297.7761 , 51.66 , 1.85 , 0.13 , 3.11 , 1439.433
s2 , GA , 0 , 12 , 1 , 0 , 1 , 73.98 , 84.23 , 3518.392 , 3278.385 , 293.1993 , 273.1988 , 301.786 , 277.0805 , 40.03 , 1.8 , 0.08 , 3.36 , 1016.11
s2 , GA , 0 , 2 , 1 , 0 , 1 , 21.94 , 40.05 , 475.5999 , 627.6936 , 237.8 , 313.8468 , 237.8 , 313.8468 , 78.44 , 0 , 0 , 0 , 207.177
s2 , GA , 0 , 4 , 1 , 0 , 1 , 57.24 , 71.82 , 1322.591 , 1180.215 , 330.6476 , 295.0538 , 335.7056 , 309.8259 , 36.72 , 0.84 , 0.04 , 0.78 , 157.752
s2 , GA , 0 , 6 , 1 , 0 , 1 , 69.59 , 86.43 , 1760.005 , 1753.23 , 293.3342 , 292.2049 , 287.3185 , 298.5922 , 45.97 , 1.89 , 0.04 , 3.42 , 236.419
s2 , GA , 0 , 8 , 1 , 0 , 1 , 75.61 , 83.04 , 2457.351 , 2270.751 , 307.1689 , 283.8439 , 306.4045 , 288.1061 , 37.46 , 2.73 , 0.05 , 3.41 , 364.655
s2 , GA , 1 , 10 , 1 , 0 , 1 , 67.29 , 84.91 , 3112.844 , 2796.58 , 311.2844 , 279.658 , 329.6332 , 286.0368 , 51.66 , 1.51 , 0.13 , 2.46 , 609.548
s2 , GA , 1 , 12 , 1 , 0 , 1 , 73.98 , 86.77 , 3518.392 , 3437.999 , 293.1993 , 286.4999 , 301.786 , 288.0099 , 40.03 , 2.46 , 0.08 , 3.46 , 657.426
s2 , GA , 1 , 2 , 1 , 0 , 1 , 21.94 , 40.05 , 475.5999 , 608.7587 , 237.8 , 304.3794 , 237.8 , 304.3794 , 78.44 , 0 , 0 , 0 , 196.856
s2 , GA , 1 , 4 , 1 , 0 , 1 , 57.24 , 74.62 , 1322.591 , 1177.851 , 330.6476 , 294.4627 , 335.7056 , 295.8986 , 36.72 , 1.6 , 0.04 , 1.59 , 308.282
s2 , GA , 1 , 6 , 1 , 0 , 1 , 69.59 , 83.69 , 1760.005 , 1859.626 , 293.3342 , 309.9376 , 287.3185 , 306.9933 , 45.97 , 1.57 , 0.04 , 2.68 , 251.646
s2 , GA , 1 , 8 , 1 , 0 , 1 , 75.61 , 83.72 , 2457.351 , 2402.888 , 307.1689 , 300.361 , 306.4045 , 294.4759 , 37.46 , 2.13 , 0.05 , 3.04 , 458.041
s2 , GenSA , 0 , 10 , 1 , 0 , 1 , 67.29 , 89.02 , 3112.844 , 2998.301 , 311.2844 , 299.8301 , 329.6332 , 302.2232 , 51.66 , 2.38 , 0.13 , 2.26 , 1000.807
s2 , GenSA , 0 , 12 , 1 , 0 , 1 , 73.98 , 89.46 , 3518.392 , 3229.998 , 293.1993 , 269.1665 , 301.786 , 261.7336 , 40.03 , 2.72 , 0.08 , 1.75 , 1001.995
s2 , GenSA , 0 , 2 , 1 , 0 , 1 , 21.94 , 40.05 , 475.5999 , 540.3911 , 237.8 , 270.1955 , 237.8 , 270.1955 , 78.44 , 0 , 0 , 0 , 719.621
s2 , GenSA , 0 , 4 , 1 , 0 , 1 , 57.24 , 75.74 , 1322.591 , 1223.755 , 330.6476 , 305.9388 , 335.7056 , 318.3537 , 36.72 , 2.07 , 0.04 , 1.91 , 1000.706
s2 , GenSA , 0 , 6 , 1 , 0 , 1 , 69.59 , 89.48 , 1760.005 , 1793.109 , 293.3342 , 298.8515 , 287.3185 , 310.1449 , 45.97 , 2.5 , 0.04 , 3.9 , 1000.719
s2 , GenSA , 0 , 8 , 1 , 0 , 1 , 75.61 , 89.75 , 2457.351 , 2486.551 , 307.1689 , 310.8189 , 306.4045 , 313.121 , 37.46 , 2.19 , 0.05 , 1.36 , 1000.719
s2 , GenSA , 1 , 10 , 1 , 0 , 1 , 67.29 , 89.91 , 3112.844 , 3206.287 , 311.2844 , 320.6287 , 329.6332 , 325.449 , 51.66 , 1.69 , 0.13 , 2.04 , 1000.794
s2 , GenSA , 1 , 12 , 1 , 0 , 1 , 73.98 , 89.53 , 3518.392 , 3367.151 , 293.1993 , 280.596 , 301.786 , 278.7733 , 40.03 , 2.47 , 0.08 , 2.33 , 1000.921
s2 , GenSA , 1 , 2 , 1 , 0 , 1 , 21.94 , 40.05 , 475.5999 , 636.8773 , 237.8 , 318.4386 , 237.8 , 318.4386 , 78.44 , 0 , 0 , 0 , 712.057
s2 , GenSA , 1 , 4 , 1 , 0 , 1 , 57.24 , 75.74 , 1322.591 , 1201.64 , 330.6476 , 300.41 , 335.7056 , 302.2382 , 36.72 , 2.06 , 0.04 , 1.92 , 1001.012
s2 , GenSA , 1 , 6 , 1 , 0 , 1 , 69.59 , 87.1 , 1760.005 , 1795.937 , 293.3342 , 299.3228 , 287.3185 , 303.6279 , 45.97 , 1.45 , 0.04 , 1.84 , 1000.739
s2 , GenSA , 1 , 8 , 1 , 0 , 1 , 75.61 , 90.68 , 2457.351 , 2462.479 , 307.1689 , 307.8099 , 306.4045 , 308.7108 , 37.46 , 2.5 , 0.05 , 3.59 , 1000.938
s2 , DEoptim , 0 , 10 , 1 , 0 , 1 , 67.29 , 81.67 , 3112.844 , 2699.96 , 311.2844 , 269.996 , 329.6332 , 256.7006 , 51.66 , 2.96 , 0.13 , 6.29 , 394.577
s2 , DEoptim , 0 , 12 , 1 , 0 , 1 , 73.98 , 69.41 , 3518.392 , 2853.029 , 293.1993 , 237.7524 , 301.786 , 262.4476 , 40.03 , 2.91 , 0.08 , 2.79 , 278.415
s2 , DEoptim , 0 , 2 , 1 , 0 , 1 , 21.94 , 40.05 , 475.5999 , 652.5502 , 237.8 , 326.2751 , 237.8 , 326.2751 , 78.44 , 0 , 0 , 0 , 15.271
s2 , DEoptim , 0 , 4 , 1 , 0 , 1 , 57.24 , 73.5 , 1322.591 , 1161.654 , 330.6476 , 290.4134 , 335.7056 , 288.3671 , 36.72 , 2.52 , 0.04 , 1.02 , 155.981
s2 , DEoptim , 0 , 6 , 1 , 0 , 1 , 69.59 , 87.65 , 1760.005 , 1841.023 , 293.3342 , 306.8372 , 287.3185 , 319.2957 , 45.97 , 3.27 , 0.04 , 6.87 , 378.26
s2 , DEoptim , 0 , 8 , 1 , 0 , 1 , 75.61 , 78.96 , 2457.351 , 2343.937 , 307.1689 , 292.9921 , 306.4045 , 289.0888 , 37.46 , 5.08 , 0.05 , 3.52 , 269.908
s3 , GA , 0 , 10 , 1 , 0.5 , 1 , 67.29 , 80.36 , 3112.844 , 2501.686 , 311.2844 , 250.1686 , 329.6332 , 243.2776 , 51.66 , 1.31 , 0.13 , 2.37 , 878.501
s3 , GA , 0 , 12 , 1 , 0.5 , 1 , 73.98 , 82.56 , 3518.392 , 2719.086 , 293.1993 , 226.5905 , 301.786 , 200.623 , 40.03 , 1.02 , 0.08 , 4.57 , 341.71
s3 , GA , 0 , 2 , 1 , 0.5 , 1 , 21.94 , 40.05 , 475.5999 , 509.6581 , 237.8 , 254.8291 , 237.8 , 254.8291 , 78.44 , 0 , 0 , 0 , 178.624
s3 , GA , 0 , 4 , 1 , 0.5 , 1 , 57.24 , 66.34 , 1322.591 , 1045.089 , 330.6476 , 261.2722 , 335.7056 , 259.984 , 36.72 , 0.82 , 0.04 , 0.25 , 225.61
s3 , GA , 0 , 6 , 1 , 0.5 , 1 , 69.59 , 77.93 , 1760.005 , 1517.617 , 293.3342 , 252.9362 , 287.3185 , 254.9016 , 45.97 , 1.74 , 0.04 , 2.49 , 425.977
