"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",155,238,134,77,18853,0,933,0,0,400,300,120000,113560,0,22383,23537,94.6333333333333
"2",391,237,130,75,17881,0,7952,0,0,400,300,120000,113560,0,22383,23537,94.6333333333333
"3",195,93,149,86,23485,594,0,0,0,400,300,120000,113560,0,22383,23537,94.6333333333333
"4",42,211,144,83,21869,3420,4302,0,0,400,300,120000,113560,0,22383,23537,94.6333333333333
"5",281,224,148,85,22941,7270,465,0,0,400,300,120000,113560,0,22383,23537,94.6333333333333
"6",74,60,137,79,19837,3314,1684,0,0,400,300,120000,113560,0,22383,23537,94.6333333333333
"7",289,8,108,62,12257,1153,5191,0,0,400,300,120000,113560,0,22383,23537,94.6333333333333
"8",333,64,148,85,22941,7216,3010,0,0,400,300,120000,113560,0,22383,23537,94.6333333333333
