"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",145,227,151,87,24033,0,900,0,0,400,300,120000,91593,0,2370,2169,76.3275
"2",317,219,151,87,24033,63,400,0,0,400,300,120000,91593,0,2370,2169,76.3275
"3",249,79,151,87,24033,1037,469,0,0,400,300,120000,91593,0,2370,2169,76.3275
"4",82,84,151,87,24033,1270,400,0,0,400,300,120000,91593,0,2370,2169,76.3275
