"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",202,88,151,87,24033,0,0,0,0,400,300,120000,104520,0,1924,1518,87.1
"2",342,64,115,66,13865,473,419,0,0,400,300,120000,104520,0,1924,1518,87.1
"3",83,214,151,87,24033,24,216,0,0,400,300,120000,104520,0,1924,1518,87.1
"4",60,64,117,67,14313,493,472,0,0,400,300,120000,104520,0,1924,1518,87.1
"5",201,254,85,49,7685,451,69,0,0,400,300,120000,104520,0,1924,1518,87.1
"6",320,214,151,87,24033,483,342,0,0,400,300,120000,104520,0,1924,1518,87.1
